Key_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Synonyms,Entity_Name
"Name",2E2F178E-3105-FFE1-4CE0-D11ACF228FC7,74,,338F9F90-129C-207B-EC9C-B36684F2DBB6,72,Unique Key,,"Term",
"Name",F5F9C51F-F0A4-7487-FE01-5CF457C325AA,75,,34301E89-9B61-3C5E-3E01-30CB859FB5E5,70,Unique Key,,"Model",
"Name",971B12B1-9FB7-BBB8-C002-FE2B59ED7155,76,,9D61E4D3-0F44-B6FF-996D-A64D6E6E1F55,71,Unique Key,,"Table",
